UMAP1,UMAP2
-4.7678714,-3.7794616
8.230926,15.110346
5.2536254,-2.20141
8.6937065,14.554362
8.815194,14.475742
10.14593,13.137603
8.221329,15.171606
-0.33031788,9.805586
-1.6071882,13.549421
-0.34440514,9.784959
-0.32684255,9.807584
-2.6258783,4.411574
13.230132,11.286812
13.2328005,11.280153
-2.8688743,14.494647
14.753245,6.8098397
15.101104,5.441708
10.9605255,15.792831
15.631161,1.8314302
6.7016015,-2.3214972
15.642599,1.6065881
10.608822,16.55291
-2.8697546,5.91465
-2.6055927,4.3966417
-0.06605467,10.212568
10.634618,16.575655
14.222681,8.676945
15.509931,3.4980636
14.034093,8.852461
-4.7496414,-3.8002617
-2.61865,-6.710692
-2.8601081,5.9076056
-0.3432602,9.788122
-3.7264893,7.0158887
-3.8726678,-5.0589056
6.2354145,-10.137304
12.1319065,15.796871
-2.5779655,-6.755904
0.07148557,11.491824
-3.4957612,6.729701
-2.7264721,-6.578366
12.288022,16.529427
6.612842,-11.297335
-0.0659043,10.22443
-2.8972478,3.9372556
-4.6172338,8.671912
-2.6244938,4.4370403
-2.3277733,-7.0674524
16.090712,4.152749
15.207031,0.27758923
-2.9072168,5.9777756
14.294107,-0.8724807
9.900885,-2.8269122
13.640384,9.953074
7.7809234,-2.0708542
14.793912,-0.053489137
14.779321,6.899374
9.964678,15.90867
15.60937,3.6438344
13.047858,10.066577
15.409745,5.317122
9.670556,-2.7581835
13.975247,9.419528
10.631397,14.457305
10.828428,14.224832
11.135924,13.482952
3.836177,-3.3146439
11.366311,13.175127
10.797975,14.21023
15.021772,0.32815686
11.224858,13.391449
15.64327,1.2379789
-5.9047437,-0.12627512
14.496209,8.268117
14.500992,8.243547
14.279965,-0.8025448
11.484767,13.810693
12.431365,-2.4586174
14.778214,6.5840583
13.505958,9.245007
15.490682,3.6356325
10.645114,16.685709
7.6068535,-2.1354904
11.463774,13.63399
0.9859375,-10.053164
11.085659,-2.5387166
4.4785333,-2.6542716
12.404753,-2.4221609
